date,time,description,amount
01.02.2020,12.40, Kenya transactions,200
01.02.2020,20.30, Food items Aldi sued,34.63
02.02.2020,11.45, Rent Bergwald,680
03.02.2020,17.31, Transport KVV,2.6
03.02.2020,18.26, Food Items Aldi Sued Waldstr.14-18 76133 Karlsruhe,12.67
03.02.2020,18.30, Food Items Aldi Sued Waldstr.14-18 76133 Karlsruhe,6.24
03.02.2020,19.06, Food Items Asian Store Markgrafenstr.27 Karlsruhe,19.79
05.02.2020,17.21, Bicycle Repair Radsport Kaiserstr.11,107
05.02.2020,21.31, Food Items Rewe Raiherwiesenstr.38 76227 Karlsruhe,10.84
05.02.2020,21.35, Food Items Rewe Raiherwiesenstr.38 76227 Karlsruhe,3.28
06.02.2020,18.52, Food Items Aldi Sued Waldstr.14-18 76133 Karlsruhe,13.05
06.02.2020,20.15, Mogogo Eat joint Stephanienstr.2a 76133 Karlsruhe,16.3
08.02.2020,12.22, Transport KVV Karsruhe,2.6
08.02.2020,15.59, Transport KVV Durmeisheim,4.4
08.02.2020,16.37, Lycamobile credit Aldi Sued Heilberg.13 76448 Durmersheim,10
08.02.2020,17.15, Food Items Aldi Sued Heilberg.13 76448 Durmersheim,1.14
10.02.2020,18.36, Food Items Penny Am Storrenacker.1b,6.65
10.02.2020,18.59, Food Items Aldi Sued Tiengenerstr.2,6.24
11.02.2020,09.00, Transport KVV Karlsruhe,2.6
11.02.2020,10.22, Driving license fee steinhaeuserstr.22,8.7
11.02.2020,12.38, Clothing Woolworth Europaplatz,6.56
11.02.2020,15.50, Food Items Penny Scheffel Str.1,15.13
11.02.2020,16.00, Transport KVV Karlsruhe,2.6
12.02.2020,18.37, Food Items Aldi Sued Wöschbacherstr. 29 76327 Pfinztal - Berghausen,13.65
13.02.2020,10.03, Transport Mülburger Tor direction Europaplatz,2.6
13.02.2020,18.31, Food Items Scheck-in Marstallstr.18 D-76227 Karlsruhe-Durlach,6.32
13.02.2020,18.15, Deutsche post Tabakshop pfinztalstr. 28 76227 Karlsruhe-Durlach,3.1
14.02.2020,18.41, Food Items Aldi Sued Waldstr.14-18 76133 Karlsruhe,19.68
14.02.2020,18.56, Food Items Sindbad Adlerstr. 36 76133 Karlsruhe,18.02
14.02.2020,19.02, Food Items Zähringerstr.47 76133 Karlruhe,22
15.02.2020,18.50, Food Items Lidl Tivoliplatz 1 76137 Karlsruhe,1.04
17.02.2020,09.10, Furniture Deutsche Bank ATM Badenerstr.8 76227 Karlruhe,150
17.02.2020,18.19, Food Items Aldi Sued Tiengenerstr.2 76227 Karlsruhe-Durlach,14.18
17.02.2020,18.26, Food Items Aldi Sued Tiengenerstr.2 76227 Karlsruhe-Durlach,3.46
17.02.2020,18.40, Hygiene Items DM pfinztalstr.46-50 76227 Karlsruhe,3.25
18.02.2020,18.25, Food Items Aldi Sued Tiengenestr.2 76227 Karlsruhe,1.33
19.02.2020,18.55, Food Items Aldi Sued Waldstr.14-18 76133 Karlsruhe,22.48
20.02.2020,19.48, Medicine Apotheke Philipp Heldmann Ettlinger Tor Platz 1 76133 Karlsruhe,18.96
20.02.2020,19.59, Food Items Rewe Ettlinger Tor Platz 1 76133 Karlsruhe,1.99
